번호,과학원번호,발견일,폐사추정일,폐사경과일,,
301,20S-2578,2020-03-02,2020-02-16,15,,
302,20S-2579,2020-03-02,2020-02-26,5,,
303,20S-2580,2020-03-02,2020-02-26,5,,
304,20S-2587,2020-03-02,2020-02-16,15,,
305,20S-2588,2020-03-02,2020-02-26,5,,
306,20S-2589,2020-03-02,2020-02-26,5,,
307,20S-2678,2020-03-03,2020-02-27,5,,
308,20S-2680,2020-03-03,2020-02-29,3,,
309,20S-2682,2020-03-03,2020-02-25,7,,
310,20S-2683,2020-03-03,2020-02-27,5,,
311,20S-2723,2020-03-03,2020-02-27,5,,
312,20S-2724,2020-03-03,2020-02-07,25,,
313,20S-2725,2020-03-03,2020-02-17,15,,
314,20S-2726,2020-03-03,2020-02-27,5,,
315,20S-2733,2020-03-04,2020-02-23,10,,
316,20S-2737,2020-03-04,2020-02-28,5,,
317,20S-2738,2020-03-04,2020-02-28,5,,
318,20S-2740,2020-03-04,2020-02-26,7,,
319,20S-2742,2020-03-04,2020-02-26,7,,
320,20S-2781,2020-03-05,2020-03-02,3,,
321,20S-2832,2020-03-05,2020-02-29,5,,
322,20S-2835,2020-03-06,2020-01-26,40,,
323,20S-2849,2020-03-06,2020-03-03,3,,
324,20S-2850,2020-03-06,2020-02-28,7,,
325,20S-2856,2020-03-06,2020-02-28,7,,
326,20S-2860,2020-03-07,2020-02-29,7,,
327,20S-2861,2020-03-07,2020-03-02,5,,
328,20S-2863,2020-03-07,2020-03-02,5,,
329,20S-2867,2020-03-07,2020-02-26,10,,
330,20S-2872,2020-03-08,2020-03-01,7,,
331,20S-2874,2020-03-08,2020-02-27,10,,
332,20S-2875,2020-03-08,2020-02-25,12,,
333,20S-2881,2020-03-07,2020-02-29,7,,
334,20S-2882,2020-03-07,2020-03-02,5,,
335,20S-2883,2020-03-07,2020-03-02,5,,
336,20S-2884,2020-03-07,2020-03-02,5,,
337,20S-2885,2020-03-07,2020-03-04,3,,
338,20S-2886,2020-03-07,2020-03-02,5,,
339,20S-2887,2020-03-07,2020-02-21,15,,
340,20S-2954,2020-03-09,2020-03-06,3,,
341,20S-2955,2020-03-09,2020-03-04,5,,
342,20S-2956,2020-03-09,2020-03-06,3,,
343,20S-2957,2020-03-09,2020-03-06,3,,
344,20S-2958,2020-03-09,2020-03-06,3,,
345,20S-2959,2020-03-09,2020-03-06,3,,
346,20S-2960,2020-03-09,2020-03-06,3,,
347,20S-2961,2020-03-09,2020-02-28,10,,
348,20S-2966,2020-03-09,2020-03-02,7,,
349,20S-2986,2020-03-10,2020-02-09,30,,
350,20S-3036,2020-03-11,2020-03-06,5,,
351,20S-3038,2020-03-11,2020-03-06,5,,
352,20S-3040,2020-03-11,2020-02-25,15,,
353,20S-3041,2020-03-11,2020-03-06,5,,
354,20S-3044,2020-03-11,2020-03-06,5,,
355,20S-3045,2020-03-11,2020-03-01,10,,
356,20S-3053,2020-03-12,2020-03-09,3,,
357,20S-3059,2020-03-12,2020-03-09,3,,
358,20S-3060,2020-03-12,2020-02-26,15,,
359,20S-3062,2020-03-12,2020-02-21,20,,
360,20S-3063,2020-03-12,2020-02-26,15,,
361,20S-3065,2020-03-12,2020-02-26,15,,
362,20S-3070,2020-03-11,2020-03-01,10,,
363,20S-3072,2020-03-12,2020-03-07,5,,
364,20S-3073,2020-03-12,2020-03-09,3,,
365,20S-3074,2020-03-12,2020-03-02,10,,
366,20S-3075,2020-03-12,2020-03-11,1,,
367,20S-3128,2020-03-13,2020-02-12,30,,
368,20S-3129,2020-03-13,2020-03-10,3,,
369,20S-3130,2020-03-13,2020-02-27,15,,
370,20S-3139,2020-03-13,2020-03-08,5,,
371,20S-3140,2020-03-13,2020-03-08,5,,
372,20S-3141,2020-03-13,2020-03-03,10,,
373,20S-3144,2020-03-13,2020-03-10,3,,
374,20S-3157,2020-03-14,2020-02-28,15,,
375,20S-3158,2020-03-14,2020-03-10,4,,
376,20S-3159,2020-03-14,2020-03-09,5,,
377,20S-3160,2020-03-14,2020-03-07,7,,
378,20S-3161,2020-03-14,2020-03-07,7,,
379,20S-3194,2020-03-16,2020-03-01,15,,
380,20S-3195,2020-03-16,2020-03-09,7,,
381,20S-3196,2020-03-16,2020-03-13,3,,
382,20S-3197,2020-03-16,2020-03-11,5,,
383,20S-3198,2020-03-16,2020-03-11,5,,
384,20S-3199,2020-03-16,2020-03-06,10,,
385,20S-3200,2020-03-16,2020-03-11,5,,
386,20S-3201,2020-03-16,2020-03-13,3,,
387,20S-3202,2020-03-16,2020-03-01,15,,
388,20S-3203,2020-03-16,2020-03-01,15,,
389,20S-3204,2020-03-16,2020-03-11,5,,
390,20S-3274,2020-03-17,2020-03-14,3,,
391,20S-3314,2020-03-18,2020-03-15,3,,
392,20S-3315,2020-03-18,2020-03-15,3,,
393,20S-3326,2020-03-18,2020-03-03,15,,
394,20S-3328,2020-03-18,2020-03-13,5,,
395,20S-3331,2020-03-18,2020-02-22,25,,
396,20S-3332,2020-03-18,2020-03-08,10,,
397,20S-3334,2020-03-18,2020-03-08,10,,
398,20S-3335,2020-03-18,2020-03-13,5,,
399,20S-3336,2020-03-18,2020-03-15,3,,
400,20S-3337,2020-03-18,2020-03-13,5,,
401,20S-3338,2020-03-18,2020-03-13,5,,
402,20S-3339,2020-03-18,2020-03-13,5,,
403,20S-3340,2020-03-18,2020-03-08,10,,
404,20S-3341,2020-03-18,2020-03-15,3,,
405,20S-3342,2020-03-18,2020-03-13,5,,
406,20S-3343,2020-03-18,2020-03-15,3,,
407,20S-3404,2020-03-19,2020-03-12,7,,
408,20S-3408,2020-03-20,2020-03-17,3,,
409,20S-3417,2020-03-20,2020-03-15,5,,
410,20S-3419,2020-03-20,2020-03-13,7,,
411,20S-3420,2020-03-20,2020-03-13,7,,
412,20S-3410,2020-03-20,2020-03-05,15,,
413,20S-3411,2020-03-20,2020-03-05,15,,
414,20S-3433,2020-03-20,2020-02-24,25,,
415,20S-3434,2020-03-20,2020-02-29,20,,
416,20S-3437,2020-03-21,2020-03-11,10,,
417,20S-3438,2020-03-21,2020-03-18,3,,
418,20S-3442,2020-03-22,2020-03-19,3,,
419,20S-3444,2020-03-21,2020-03-16,5,,
420,20S-3448,2020-03-22,2020-03-19,3,,
421,20S-3451,2020-03-20,2020-03-20,0,,
422,20S-3476,2020-03-23,2020-03-08,15,,
423,20S-3477,2020-03-23,2020-03-08,15,,
424,20S-3478,2020-03-23,2020-03-18,5,,
425,20S-3483,2020-03-23,2020-02-22,30,,
426,20S-3484,2020-03-23,2020-03-18,5,,
427,20S-3492,2020-03-23,2020-03-16,7,,
428,20S-3494,2020-03-23,2020-03-18,5,,
429,20S-3495,2020-03-23,2020-03-18,5,,
430,20S-3503,2020-03-23,2020-03-23,0,,
431,20S-3538,2020-03-23,2020-03-20,3,,
432,20S-3539,2020-03-23,2020-03-20,3,,
433,20S-3546,2020-03-24,2020-03-21,3,,
434,20S-3547,2020-03-24,2020-03-19,5,,
435,20S-3555,2020-03-24,2020-03-19,5,,
436,20S-3556,2020-03-24,2020-02-28,25,,
437,20S-3557,2020-03-24,2020-03-19,5,,
438,20S-3558,2020-03-24,2020-03-21,3,,
439,20S-3563,2020-03-24,2020-02-28,25,,
440,20S-3599,2020-03-25,2020-03-15,10,,
441,20S-3607,2020-03-25,2020-03-05,20,,
442,20S-3613,2020-03-25,2020-03-22,3,,
443,20S-3614,2020-03-25,2020-03-18,7,,
444,20S-3615,2020-03-25,2020-03-22,3,,
445,20S-3616,2020-03-25,2020-03-18,7,,
446,20S-3617,2020-03-25,2020-03-15,10,,
447,20S-3618,2020-03-25,2020-03-18,7,,
448,20S-3619,2020-03-25,2020-03-20,5,,
449,20S-3682,2020-03-26,2020-03-23,3,,
450,20S-3683,2020-03-26,2020-03-14,12,,
451,20S-3684,2020-03-26,2020-03-16,10,,
452,20S-3686,2020-03-26,2020-03-19,7,,
453,20S-3687,2020-03-26,2020-03-23,3,,
454,20S-3688,2020-03-26,2020-03-21,5,,
455,20S-3689,2020-03-26,2020-03-21,5,,
456,20S-3690,2020-03-26,2020-03-16,10,,
457,20S-3691,2020-03-26,2020-03-21,5,,
458,20S-3692,2020-03-26,2020-03-16,10,,
459,20S-3693,2020-03-26,2020-03-16,10,,
460,20S-3733,2020-03-27,2020-03-26,1,,
